parcela	tratamentos	taxa_germinacao	replicas
17	T50	48	3
18	T50	59	3
19	T50	55	3
20	T50	47	3
21	T50	45	3
22	T50	53	3
23	T50	43	3
24	T50	42	3
25	T50	51	3
26	T50	50	3
27	T50	56	3
28	T50	59	3
29	T50	62	3
30	T50	53	3
1	T50	58	4
2	T50	66	4
3	T50	63	4
4	T50	57	4
5	T50	52	4
6	T50	60	4
7	T50	59	4
8	T50	52	4
9	T50	55	4
10	T50	62	4
11	T50	67	4
12	T50	50	4
13	T50	51	4
14	T50	63	4
15	T50	59	4
16	T50	50	4
17	T50	52	4
18	T50	63	4
19	T50	59	4
20	T50	51	4
21	T50	49	4
22	T50	57	4
23	T50	47	4
24	T50	46	4
25	T50	55	4
26	T50	54	4
27	T50	60	4
28	T50	63	4
29	T50	66	4
30	T50	57	4
1	T50	53	5
2	T50	61	5
3	T50	58	5
4	T50	52	5
5	T50	47	5
6	T50	55	5
7	T50	54	5
8	T50	47	5
9	T50	50	5
10	T50	57	5
11	T50	62	5
12	T50	45	5
13	T50	46	5
14	T50	58	5
15	T50	54	5
16	T50	45	5
17	T50	47	5
18	T50	58	5
19	T50	54	5
20	T50	46	5
21	T50	44	5
22	T50	52	5
23	T50	42	5
24	T50	41	5
25	T50	50	5
26	T50	49	5
27	T50	55	5
28	T50	58	5
29	T50	61	5
30	T50	52	5
1	T100	33	2
2	T100	31	2
3	T100	34	2
4	T100	35	2
5	T100	29	2
6	T100	28	2
7	T100	36	2
8	T100	41	2
9	T100	35	2
10	T100	33	2
11	T100	24	2
12	T100	22	2
13	T100	32	2
14	T100	23	2
15	T100	31	2
16	T100	29	2
17	T100	38	2
18	T100	33	2
19	T100	27	2
20	T100	25	2
21	T100	21	2
22	T100	18	2
23	T100	30	2
24	T100	38	2
25	T100	36	2
26	T100	25	2
27	T100	26	2
28	T100	35	2
29	T100	33	2
30	T100	29	2
1	T100	36	3
2	T100	34	3
3	T100	37	3
4	T100	38	3
5	T100	32	3
6	T100	31	3
7	T100	39	3
8	T100	44	3
9	T100	38	3
10	T100	36	3
11	T100	27	3
12	T100	25	3
13	T100	35	3
14	T100	26	3
15	T100	34	3
16	T100	32	3
17	T100	41	3
18	T100	36	3
19	T100	30	3
20	T100	28	3
21	T100	24	3
22	T100	21	3
23	T100	33	3
24	T100	41	3
25	T100	39	3
26	T100	28	3
27	T100	29	3
28	T100	38	3
29	T100	36	3
30	T100	32	3
1	T100	34	4
2	T100	32	4
3	T100	35	4
4	T100	36	4
5	T100	30	4
6	T100	29	4
7	T100	37	4
8	T100	42	4
9	T100	36	4
10	T100	34	4
11	T100	25	4
12	T100	23	4
13	T100	33	4
14	T100	24	4
15	T100	32	4
16	T100	30	4
17	T100	39	4
18	T100	34	4
19	T100	28	4
20	T100	26	4
21	T100	22	4
22	T100	19	4
23	T100	31	4
24	T100	39	4
25	T100	37	4
26	T100	26	4
27	T100	27	4
28	T100	36	4
29	T100	34	4
30	T100	30	4
1	T100	40	5
2	T100	38	5
3	T100	41	5
4	T100	42	5
5	T100	36	5
6	T100	35	5
7	T100	43	5
8	T100	48	5
9	T100	42	5
10	T100	40	5
11	T100	31	5
12	T100	29	5
13	T100	39	5
14	T100	30	5
15	T100	38	5
16	T100	36	5
17	T100	45	5
18	T100	40	5
19	T100	34	5
20	T100	32	5
21	T100	28	5
22	T100	25	5
23	T100	37	5
24	T100	45	5
25	T100	43	5
26	T100	32	5
27	T100	33	5
28	T100	42	5
29	T100	40	5
30	T100	36	5
